PLAYER NAME,PLAYING ROLE,COUNTRY,TEAM,AGE,BASE PRICE,SOLD PRICE,RUNS-S,AVE,SR-B,SIXERS,WKTS,ECON,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,HS,RUNS-C,AVE-BL,SR-BL,CAPTAINCY EXP
"Abdulla, YA",Allrounder,SA,KXIP,2,50000,50000,0,0.0,0.0,0,15,8.9,0,0,0,0.0,0,0.0,0,307,20.47,13.93,0
Abdur Razzak,Bowler,BAN,RCB,2,50000,50000,0,0.0,0.0,0,0,14.5,214,18,657,71.41,185,37.6,0,29,0.0,0.0,0
"Agarkar, AB",Bowler,IND,KKR,2,200000,350000,167,18.56,121.01,5,29,8.81,571,58,1269,80.62,288,32.9,39,1059,36.52,24.9,0
"Ashwin, R",Bowler,IND,CSK,1,100000,850000,58,5.8,76.32,0,49,6.23,284,31,241,84.56,51,36.8,11,1125,22.96,22.14,0
"Badrinath, S",Batsman,IND,CSK,2,100000,800000,1317,32.93,120.71,28,0,0.0,63,0,79,45.93,0,0.0,71,0,0.0,0.0,0
"Bailey, GJ",Batsman,AUS,CSK,2,50000,50000,63,21.0,95.45,0,0,0.0,0,0,172,72.26,0,0.0,48,0,0.0,0.0,1
"Balaji, L",Bowler,IND,CSK+,2,100000,500000,26,4.33,72.22,1,52,7.98,51,27,120,78.94,34,42.5,15,1342,25.81,19.4,0
"Bollinger, DE",Bowler,AUS,CSK,2,200000,700000,21,21.0,165.88,1,37,7.22,54,50,50,92.59,62,31.3,16,693,18.73,15.57,0
"Botha, J",Allrounder,SA,RR,2,200000,950000,335,30.45,114.73,3,19,6.85,83,17,609,85.77,72,53.0,67,610,32.11,28.11,1
"Boucher, MV",W. Keeper,SA,RCB+,2,200000,450000,394,28.14,127.51,13,0,0.0,5515,1,4686,84.76,0,0.0,50,0,0.0,0.0,1
"Bravo, DJ",Allrounder,WI,MI+,2,200000,200000,839,27.97,127.12,38,47,8.12,2200,86,2004,81.39,142,34.1,70,1338,28.47,21.11,0
"Chanderpaul, S",Batsman,WI,RCB,3,200000,200000,25,8.33,80.64,0,0,0.0,9918,9,8778,70.74,14,52.8,16,0,0.0,0.0,1
"Chawla, PP",Allrounder,IND,KXIP,1,125000,400000,337,13.48,113.09,9,73,38.11,5,3,38,65.51,32,41.0,24,1819,126.3,100.2,0
"de Villiers, AB",W. Keeper,SA,DD+,2,200000,300000,1302,34.26,128.53,42,0,0.0,5457,2,4998,93.19,0,0.0,105,0,0.0,0.0,1
"Dhawan, S",Batsman,IND,MI+,2,100000,300000,1540,31.43,122.32,36,4,8.25,0,0,69,56.09,0,0.0,95,66,16.5,12.0,0
"Dhoni, MS",W. Keeper,IND,CSK,2,400000,1500000,1782,37.13,136.45,64,0,0.0,3509,0,6773,88.19,1,12.0,70,0,0.0,0.0,1
"Dilshan, TM",Allrounder,SL,DD+,2,150000,250000,1077,28.34,117.83,24,5,8.07,4722,32,6455,86.8,67,58.3,76,356,71.2,53.0,1
"Dinda, AB",Bowler,IND,KKR+,2,100000,375000,6,1.0,33.33,0,36,7.29,0,0,18,60.0,5,61.4,2,926,25.72,21.19,0
"Dravid, RS",Batsman,IND,RCB+,3,400000,500000,1703,27.92,116.88,23,0,0.0,13288,1,10889,71.24,4,46.5,75,0,0.0,0.0,1
"Duminy, J-P",Batsman,SA,MI+,2,300000,300000,978,36.22,119.27,35,10,7.11,654,11,2536,84.0,25,47.6,74,377,37.7,31.8,0
"Edwards, FH",Bowler,WI,DC,2,150000,150000,4,4.0,80.0,0,5,6.6,380,157,73,45.62,60,35.6,3,154,30.8,28.0,0
"Fernando, CRD",Bowler,SL,MI,2,150000,150000,4,0.0,133.33,0,17,7.64,249,97,239,60.96,187,34.7,2,298,17.53,13.76,0
"Fleming, SP",Batsman,NZ,CSK,3,350000,350000,196,21.77,118.78,3,0,0.0,7172,0,8037,71.49,1,29.0,45,0,0.0,0.0,1
"Flintoff, A",Allrounder,ENG,CSK,2,950000,1550000,62,31.0,116.98,2,2,9.55,3845,226,3394,88.82,169,33.2,24,105,52.5,33.0,1
"Gambhir, G",Batsman,IND,DD+,2,220000,725000,2065,33.31,128.9,32,0,0.0,3712,0,4819,86.17,0,0.0,93,0,0.0,0.0,1
"Ganguly, SC",Batsman,IND,KKR+,3,200000,400000,1349,25.45,106.81,42,10,7.89,7212,32,11363,73.7,100,45.6,91,363,36.3,27.6,1
"Gayle, CH",Allrounder,WI,KKR+,2,250000,800000,1804,50.11,161.79,129,13,8.05,6373,72,8087,83.95,156,44.4,128,606,46.62,34.85,1
"Gibbs, HH",Batsman,SA,DC,3,250000,575000,886,27.69,109.79,31,0,0.0,6167,0,8094,83.26,0,0.0,69,0,0.0,0.0,1
"Gilchrist, AC",W. Keeper,AUS,DC+,3,300000,700000,1775,27.73,140.21,86,0,0.0,5570,0,9619,96.94,0,0.0,109,0,0.0,0.0,1
"Gony, MS",Bowler,IND,CSK+,2,50000,290000,54,9.0,117.39,5,30,8.47,0,0,0,0.0,2,39.0,15,999,33.3,23.6,0
Harbhajan Singh,Bowler,IND,MI,2,250000,850000,430,16.54,151.41,22,54,6.85,2164,406,1190,80.51,259,46.5,49,1469,27.2,23.83,1
"Harris, RJ",Bowler,AUS,DC+,2,200000,325000,115,10.45,107.48,3,44,7.71,199,46,48,100.0,44,23.4,17,975,22.16,17.27,0
"Hayden, ML",Batsman,AUS,CSK,3,225000,375000,1107,36.9,137.52,44,0,0.0,8625,0,6133,78.96,0,0.0,93,0,0.0,0.0,0
"Henderson, T",Allrounder,SA,RR,3,100000,650000,11,5.5,68.75,1,1,6.66,0,0,0,0.0,0,0.0,11,40,40.0,36.0,0
"Henriques, MC",Allrounder,AUS,KKR+,1,50000,50000,49,16.33,108.89,1,3,8.82,0,0,18,60.0,1,90.0,30,142,47.33,32.33,0
"Hodge, BJ",Batsman,AUS,KKR+,3,200000,425000,1006,31.44,121.5,28,17,7.89,503,0,575,87.51,1,66.0,73,300,17.65,13.41,0
"Hopes, JR",Allrounder,AUS,KXIP,2,200000,350000,417,26.06,136.27,11,14,9.13,0,0,1326,93.71,67,47.1,71,548,39.14,25.71,0
"Hussey, DJ",Allrounder,AUS,KKR+,2,100000,625000,971,26.24,125.78,48,6,8.85,0,0,1488,91.4,18,36.2,71,345,57.5,39.0,0
"Hussey, MEK",Batsman,AUS,CSK,3,250000,250000,958,39.92,120.65,25,0,0.0,5708,7,5262,86.97,2,117.0,116,0,0.0,0.0,1
"Jadeja, RA",Allrounder,IND,RR+,1,100000,950000,904,23.18,120.86,35,26,7.33,0,0,860,78.61,57,46.2,48,750,28.85,23.65,0
"Jaffer, W",Allrounder,IND,RCB,2,150000,150000,130,16.25,107.44,3,0,0.0,1944,2,10,43.47,0,0.0,50,0,0.0,0.0,0
"Jayasuriya, ST",Allrounder,SL,MI,3,250000,975000,768,27.43,144.36,39,13,7.96,6973,98,13430,91.21,323,46.0,114,390,30.0,22.62,1
"Jayawardena, DPMD",Batsman,SL,KXIP+,2,250000,475000,1471,30.65,128.02,33,0,0.0,10440,6,10596,78.08,7,83.1,110,0,0.0,0.0,1
"Kaif, M",Batsman,IND,RR+,2,125000,675000,259,14.39,103.6,6,0,0.0,624,0,2753,72.03,0,0.0,34,0,0.0,0.0,0
"Kallis, JH",Allrounder,SA,RCB,3,225000,900000,1965,30.7,110.95,37,45,7.96,12379,276,11498,72.97,270,39.3,89,1713,38.07,28.71,1
Kamran Akmal,W. Keeper,PAK,RR,2,150000,150000,128,25.6,164.1,8,0,0.0,2648,0,2924,84.31,0,0.0,53,0,0.0,0.0,0
Kamran Khan,Bowler,IND,RR+,1,20000,24000,3,3.0,60.0,0,9,8.48,0,0,0,0.0,0,0.0,3,224,24.89,17.78,0
"Karthik, KD",W. Keeper,IND,DD+,2,200000,525000,1231,24.14,123.84,28,0,0.0,1000,0,1008,74.5,0,0.0,69,0,0.0,0.0,0
"Kartik, M",Bowler,IND,KKR+,2,200000,425000,111,18.5,105.71,1,21,7.02,88,24,126,70.78,37,51.5,21,1013,48.24,41.33,0
"Katich, SM",Batsman,AUS,KXIP,3,200000,200000,241,24.1,129.57,8,0,0.0,4188,21,1324,68.74,0,0.0,75,0,0.0,0.0,0
"Kohli, V",Batsman,IND,RCB,1,150000,1800000,1639,28.26,119.29,49,4,8.84,491,0,3590,86.31,2,137.0,73,345,86.25,58.5,1
